Rank,Term,P-value,Z-score,Combined Score,Genes,Adjusted P-value,Gene_set,AD_genes,T2D_genes,Shared_genes,N_AD,N_T2D,N_Shared
7,Viral myocarditis,1.8075876552190023e-07,47.61244019138756,739.2356258202076,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,2.608090759673132e-06,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
8,Epstein-Barr virus infection,2.287793210359463e-07,19.705698005698007,301.31013224526566,CCND2;PLCG2;HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,2.888338928078822e-06,KEGG_2021_Human,PLCG2;HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,CCND2;HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,6,6,5
9,Inflammatory bowel disease,2.712201977434652e-07,43.63377192982456,659.7572405235024,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,3.0436933302322204e-06,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
10,Human T-cell leukemia virus 1 infection,3.953328439571179e-07,18.10993186582809,267.00446472841764,CDKN2B;CCND2;HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,3.992861723966891e-06,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,CDKN2B;CCND2;HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,7,5
11,Leishmaniasis,6.365513088486486e-07,36.33954678362573,518.4636113529241,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5.715542670762337e-06,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
12,Antigen processing and presentation,6.790743767242382e-07,35.83994232155732,509.0180415551385,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5.715542670762337e-06,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
12,Cell adhesion molecules (CAMs),3.845959671900612e-07,25.320280910832093,374.0077047902264,HLA-DRA;PVRL2;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,6.602230770096051e-06,BioPlanet_2019,HLA-DRA;PVRL2;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,6,5,5
5,TCR Signaling R-HSA-202403,1.709911719813988e-07,29.25847665847666,455.89545715644977,PLCG2;HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,6.634457472878273e-06,Reactome_2022,PLCG2;HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,6,5,5
13,Viral myocarditis,4.2347642547259884e-07,39.65510366826156,581.9294459649357,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,6.685568326237096e-06,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
14,Leishmaniasis,4.5435901246271527e-07,39.06127258444619,570.465596822135,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,6.685568326237096e-06,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
6,Costimulation By CD28 Family R-HSA-388841,3.4066251274515213e-07,41.54970760233918,618.7737664421848,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,1.101475457875992e-05,Reactome_2022,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,5,5,5
15,Antigen processing and presentation,8.202559686212266e-07,34.420013850415515,482.35000604854355,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,1.126484863573151e-05,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
13,Th1 and Th2 cell differentiation,1.5471774043852934e-06,30.051421657592257,402.0603238806459,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,1.1777303678164903e-05,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
14,Rheumatoid arthritis,1.6324975395476103e-06,29.708433014354068,395.87673792918434,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,1.1777303678164903e-05,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
15,Staphylococcus aureus infection,1.8142442837640376e-06,29.045321637426902,383.9745498021045,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,1.2215911510677854e-05,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
16,Hematopoietic cell lineage,2.2254023151187074e-06,27.803751399776036,361.88175164987877,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,1.404785211418684e-05,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
17,Th17 cell differentiation,3.2660834680045093e-06,25.612745098039216,323.53812162785135,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,1.9404378251085614e-05,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
16,Interferon signaling,1.5137657299829793e-06,19.814814814814813,265.5365529867323,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,1.9489733773530858e-05,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,6,6,6
18,Toxoplasmosis,4.08904965763566e-06,24.40973930152484,302.85646797003545,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,2.2944111967844538e-05,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
7,Interferon Gamma Signaling R-HSA-877300,1.312104938213511e-06,31.12938596491228,421.61260221373493,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,3.636405114477445e-05,Reactome_2022,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,5,5,5
8,Downstream TCR Signaling R-HSA-202424,1.7214821568988422e-06,29.373151981076287,389.85001699031733,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,4.174594230479692e-05,Reactome_2022,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,5,5,5
19,Systemic lupus erythematosus,1.0189508024890478e-05,20.067813765182187,230.66250156581063,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5.4165279500733593e-05,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
9,MHC Class II Antigen Presentation R-HSA-2132295,2.8387913965025493e-06,26.392876129718235,337.09330203716877,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,6.119172565794384e-05,Reactome_2022,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1,5,5,5
20,Cell adhesion molecules,1.5912500595450613e-05,18.231505336768496,201.4290648690376,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,8.03581280070256e-05,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
21,Phagosome,1.8100250203065734e-05,17.73182957393484,193.62421662814722,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,8.705358430998281e-05,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
17,Systemic lupus erythematosus,1.1742310719056372e-05,19.464846818538884,220.97101291879463,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,0.00014228917694856545,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
22,Influenza A,3.278979798381879e-05,15.592499212102112,160.9986842135293,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,0.00015053498165298624,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
23,Tuberculosis,4.074730373780997e-05,14.873684210526315,150.3449980262844,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,0.0001789338120660351,KEGG_2021_Human,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
18,Phagosome,1.927849577029726e-05,17.492052278346875,189.9028205092695,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,0.0002206316738156242,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQA1;HLA-DQB1,5,5,5
19,"Immune system signaling by interferons, interleukins, prolactin, and growth hormones",2.8156875669944853e-05,11.649043203787729,122.05540109905262,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,0.0003052798098951916,BioPlanet_2019,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,6,6,6
20,Adaptive immune system,3.854486618911474e-05,7.399522216913521,75.20643249505487,PLCG2;HLA-DRA;PVRL2;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,0.0003970121217478819,BioPlanet_2019,PLCG2;HLA-DRA;PVRL2;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,HLA-DRA;HLA-DQA2;HLA-DRB1;HLA-DQB2;HLA-DQA1;HLA-DQB1,8,6,6
21,Binding of RNA by insulin-like growth factor 2 mRNA binding proteins (IGF2BPs/IMPs/VICKZs),0.0001253885401588909,162.20325203252034,1457.2491531056257,IGF2BP3;IGF2BP2,0.001123045185770936,BioPlanet_2019,,IGF2BP3;IGF2BP2,,0,2,0
22,Bystander B cell activation,0.0001253885401588909,162.20325203252034,1457.2491531056257,HLA-DRA;HLA-DRB1,0.001123045185770936,BioPlanet_2019,HLA-DRA;HLA-DRB1,HLA-DRA;HLA-DRB1,HLA-DRA;HLA-DRB1,2,2,2
23,Eosinophils in the chemokine network of allergy,0.0001253885401588909,162.20325203252034,1457.2491531056257,HLA-DRA;HLA-DRB1,0.001123045185770936,BioPlanet_2019,HLA-DRA;HLA-DRB1,HLA-DRA;HLA-DRB1,HLA-DRA;HLA-DRB1,2,2,2
